Indicator,Indicator Type,Partner,Product categories,Reporter,year,amount
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2000,3798.14
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,2001,3711.51
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2003,3706.98
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1995,3687.92
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1997,3659.86
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1998,3602.95
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1999,3467.87
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1999,3449.7
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1995,3412.85
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2001,3376.32
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1998,3351.75
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,2002,3312.09
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1998,3295.68
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1990,3157.03
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1994,3075.31
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1994,3014.16
Trade (US$ Mil)-Top 5 Export Partner,Export,Special Categories,All Products,Australia,1988,2982.09
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1996,2980.45
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1994,2948.08
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1991,2940.68
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1992,2824.41
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1994,2778.13
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1995,2758.78
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1993,2698.29
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1992,2696.56
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1990,2658.62
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1988,2655.61
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1989,2645.98
Trade (US$ Mil)-Top 5 Export Partner,Export,United States,All Products,Australia,1989,2635.11
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1993,2600.68
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1991,2447.61
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1994,2444.7
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1992,2441.33
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1988,2436.46
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1992,2390.81
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1993,2383.83
Trade (US$ Mil)-Top 5 Import Partner,Import,United Kingdom,All Products,Australia,1991,2362.16
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1993,2330.26
Trade (US$ Mil)-Top 5 Export Partner,Export,Singapore,All Products,Australia,1991,2168.31
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1990,2070.77
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1993,2024.92
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1992,1848.13
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1990,1812.75
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1989,1787.87
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1991,1751.6
Trade (US$ Mil)-Top 5 Export Partner,Export,"Korea, Rep.",All Products,Australia,1989,1726.61
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1990,1693.11
Trade (US$ Mil)-Top 5 Export Partner,Export,"Hong Kong, China",All Products,Australia,1988,1652.45
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1989,1605.15
Trade (US$ Mil)-Top 5 Export Partner,Export,New Zealand,All Products,Australia,1988,1513.67
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1988,1423.72
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1988,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1989,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1990,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1991,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1992,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1993,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1994,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1995,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1996,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1997,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1998,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,1999,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2000,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2001,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2002,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2003,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2004,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2005,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2006,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2007,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2008,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2009,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2010,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2011,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2012,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2013,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2014,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2016,0
Trade (US$ Mil)-Top 5 Import Partner,Import,"Korea, Rep.",All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1995,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1996,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1997,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1998,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,1999,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2000,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2001,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2002,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2003,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2004,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2005,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2006,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2007,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2008,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2009,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2010,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2011,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2012,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2013,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2014,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2015,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2016,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2017,0
Trade (US$ Mil)-Top 5 Import Partner,Import,New Zealand,All Products,Australia,2018,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1988,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1989,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1990,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1991,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1992,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1993,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1994,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1995,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1996,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1997,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1998,0
Trade (US$ Mil)-Top 5 Import Partner,Import,Singapore,All Products,Australia,1999,0
